company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
E42,Artificial Intelligence (AI),Enterprise Software,Pune,Maharashtra,E42 is a no-code Cognitive Process Automation platform to build AI co-workers that automate enterprise processes across functions at scale.,411014,$10M to $50M,Apr-12,e42.ai/,3,Animesh Samuel,Sanjeev Menon,51-100,6,Early Stage Venture,"Oct 26, 2021","$ 54,00,000.00",Series A,"$ 76,60,000.00",Brand Capital,Pavestone Capital,Target Accelerators,JioGenNext,NB Ventures,6
Fynd,Artificial Intelligence (AI),Cloud Computing,Mumbai,Maharashtra,"Commerce, AI, Big Data, Gaming, Payments",400093,$1M to $10M,"Sep 27, 2012",www.fynd.com,3,Farooq Adam,Harsh Shah,501-1000,7,M&A,"Mar 29, 2018","$ 87,30,000.00",Series C,"$ 1,31,30,000.00",Google,IIFL Finance,Venture Catalysts,FJ Labs,Rocketship.vc,20
Bella Vita Organic,Beauty,E-Commerce,Gurgaon,Haryana,Bella Vita Organic is Natural & Ayurvedic Beauty and Skincare Products brand in India.,122016,$10M to $50M,2012,bellavitaorganic.com/,2,Aakash Anand,Aashima Anand,101-250,1,Early Stage Venture,"Jul 20, 2021","$ 1,00,00,000.00",Series A,"$ 1,00,00,000.00",Ananta Capital,,,,,1
Walko,Food and Beverage,Food Processing,Pune,Maharashtra,Walko is a consumer packaged food company.,—,$1M to $10M,2012,walkofood.com/,1,Jeetendra Bhandari,,51-100,3,—,"Feb 21, 2024","₹ 1,65,80,00,000.00",Venture - Series Unknown,"₹ 2,91,80,00,000.00",Jungle Ventures,JM Financial Private Equity,,,,2
Intangles,Fleet Management,Information Technology,Pune,Maharashtra,Intangles develops digital platform and tools using machine learning to predict and monitor fleet and vehicle operations.,411014,$10M to $50M,2014,www.intangles.ai/,—,,,51-100,1,Early Stage Venture,"Feb 21, 2023","₹ 82,70,00,000.00",Series A,"₹ 82,70,00,000.00",Baring Private Equity Partners India,,,,,1
The baker’s dozen,Bakery,Consumer Goods,Mumbai,Maharashtra,The baker's dozen is a bakery brand sold directly to consumers (D2C).,—,$1M to $10M,2013,thebakersdozen.in,—,,,101-250,3,Seed,"Jan 11, 2024","₹ 33,00,00,000.00",Seed,"$ 89,72,291.00",Fireside Ventures,She Capital,Mirabilis Investment Trust,Wipro Consumer Care Ventures,,4
Infurnia Technologies,Architecture,Furniture,Bengaluru,Karnataka,Infurnia Technologies is a technology company that develops cloud-based architecture & interior design software.,560095,$1M to $10M,2014,www.infurnia.com/,3,Lovepreet Mann,Nikhil Kumar,Nov-50,8,—,"Oct 31, 2023","$ 12,00,000.00",Venture - Series Unknown,"$ 37,33,941.00",Idein Ventures,Jasleen Royal,Pallav Nadhani,Yogesh Chaudhary,Bentley Systems,6
Veeba Foods,Food and Beverage,Food Delivery,New Delhi,Delhi,Veeba Foods is a manufacturer of specialty food ingredients.,110030,Less than $1M,2012,www.veeba.in,1,Viraj Bahl,,51-100,7,Late Stage Venture,"Oct 23, 2019","$ 1,40,00,000.00",Series D,"$ 4,58,95,220.00",Verlinvest,DSG Consumer Partners,Sixth Sense Ventures,Saama Capital,,4
Scripbox,Finance,Financial Services,Bangalore,Karnataka,Scripbox is a digital wealth manager,5600008,$10M to $50M,Jan-12,scripbox.com/,4,Atul Shinghal,Manish Dimri,101-250,7,Late Stage Venture,"Jan 18, 2022","$ 1,30,00,000.00",Series D,"$ 5,50,00,000.00",Accel,Omidyar Network,LetsVenture,Flourish Ventures,Kube VC,25
kitchens@,Business Development,Business Intelligence,Bangalore,Karnataka,"Kitchens@ is a cloud kitchen company that provides an environment for cooking, innovation, and connection.",560005,$100M to $500M,2014,www.loyalhospitality.in,1,Junaiz Kizhakkayil,,501-1000,2,Late Stage Venture,"Dec 22, 2023","$ 6,50,00,000.00",Series C,"$ 8,00,00,000.00",Zomato,Swiggy,Finnest,,,3
Roposo,Internet,Social Network,Gurgaon,Haryana,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,122002,$1M to $10M,"Jun 29, 2012",www.roposo.com/,3,Avinash Saxena,Kaushal Shubhank,51-100,5,M&A,"Dec 11, 2018","$ 1,00,00,000.00",Series C,"$ 3,26,97,880.00",Tiger Global Management,India Quotient,Bertelsmann India Investments,Binny Bansal,5ideas.in,6
