company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Musicfellas,E-Commerce,Media and Entertainment,New Delhi,Delhi,"Musicfellas is a music discovery platform that offers to explore, discuss, and buy music.",—,—,2012,musicfellas.com,3,Gaurav Shahlot,Mayank Jain,01-Oct,1,M&A,"Mar 1, 2012","$ 20,000.00",Seed,"$ 20,000.00",TLabs,,,,,1
Bill Cloud,Cloud Infrastructure,Internet,Pune,Maharashtra,Bill Cloud is a cloud-based multi-channel payments service provider.,—,—,"Jan 1, 2013",www.billcloud.in/,1,Kumar Majethia,,01-Oct,1,—,"Apr 1, 2016",—,Venture - Series Unknown,—,Intellecap Impact Investment Network,,,,,1
Daaki,Fitness,Health Care,Bangalore,Karnataka,"DAAKI is a premium sports supplement brand that designs, manufacture, and markets custom-made supplements.",560070,—,2013,www.daaki.com/,1,Amit Dabas,,Nov-50,1,Seed,"Jan 8, 2018",—,Angel,—,Rohan Ajila,,,,,1
GiftAbled,Gift,Social Entrepreneurship,,,Merchandise made with the support of People with Disabilities - Disability Sensitisation Workshops - Accessibility Solutions.,560030,—,2013,giftabled.org/,2,India,Asia-Pacific (APAC),Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Prarthana Kaul,Prateek Kaul,IIM Calcutta Innovation Park,,,1
Sampurn(e)arth Environmental Solutions,Waste Management,,Mumbai,Maharashtra,SES envisions a world where waste is transformed into utilizable resources without exploitation of people or the planet.,400 088,—,2012,www.sampurnearth.com/,3,Debartha Banerjee,Jayanth Nataraju,101-250,1,Seed,"Aug 19, 2015",—,Angel,—,ah! Ventures,Rianta Capital,Intellecap Impact Investment Network,,,3
RemitGuru,Financial Services,FinTech,Mumbai,Maharashtra,RemitGuru offers cross border transfers/payments for both individuals and businesses.,400054,$1M to $10M,2013,www.remitguru.com/,2,Hershel Asmani,Vishwas Patel,01-Oct,1,Early Stage Venture,"Jul 1, 2017",—,Series A,—,Secocha Ventures,,,,,1
HumanCloud,Android,Apps,Pune,Maharashtra,HumanCloud is a social discovery network that analyzes public information to find like-minded folks and deliver interesting content.,—,$1M to $10M,"Mar 1, 2011",humancloud.me,2,Denis Buryakovskyy,Vasiliy Iakymchuk,01-Oct,2,Seed,"Jun 1, 2011","$ 4,00,000.00",Seed,"$ 4,70,000.00",Lamex Group,Denis Buryakovskyy,,,,2
Hoverr.me,Advertising,Advertising Platforms,Bengaluru,Karnataka,Hoverr.me is a premium ad unit that enables its users to monetize images by selling inventory direct to the advertisers.,—,$1M to $10M,2013,hoverr.me/,1,Vijay Kumar,,Nov-50,1,Seed,"Sep 1, 2013","$ 20,000.00",Seed,"$ 20,000.00",TLabs,,,,,1
MAD Studios,Film Production,TV Production,Mumbai,Maharashtra,"MAD Studios is engaged in business of production service for feature films, ad films and TV series.",400065,—,2012,madstudios.in,1,Sunil Manchanda,,01-Oct,1,—,"Feb 1, 2012",—,Venture - Series Unknown,—,Ambit Pragma Ventures,,,,,1
Ecotrail Personal Care,Cosmetics,Manufacturing,Ahmedabad,Gujarat,"A manufacturer of skin care, body care, hair care, fragrances and color cosmetics.",382213,$1M to $10M,2012,ecotrailpersonalcare.com/index.html,2,Grishma Teli,Mauli Teli,Nov-50,1,—,"Sep 6, 2017",—,Venture - Series Unknown,—,GVFL,,,,,1
iCouchApp,Internet,Internet of Things,Noida,Uttar Pradesh,iCouchApp is an online platform that allows its users to discover new videos and interact with their favorite TV shows.,201301,—,2013,icouchapp.com/,1,Rabi Gupta,,01-Oct,1,M&A,"Jan 1, 2019",—,Venture - Series Unknown,—,Mumbai Angels,,,,,1
Quantta Analytics,Analytics,Artificial Intelligence (AI),Mumbai,Maharashtra,Quantta is passionate about using big data and artificial intelligence to understand and predict human behavior.,400005,—,2012,www.quantta.com,3,Malvika Bawri,Ritesh Bawri,Nov-50,1,Seed,"Jun 26, 2017",—,Seed,—,,,,,,—
Moonglabs,Android,Mobile,Delhi,Delhi,Moonglabs is a leading developer and publisher of free-to-play (F2P) games for smartphone and tablet devices.,110007,$1M to $10M,2013,moonglabs.com/,2,Nidhi Bajaj Anand,Tarun Anand,Nov-50,1,Seed,"Aug 11, 2017",—,Seed,—,Nazara,,,,,1
Livares Technologies Pvt Ltd,Android,Big Data,Trivandrum,Kerala,"Livares Technologies is an India-based company that offers its users with mobile technology solutions, web, and voice application services.",695581,$1M to $10M,"Aug 17, 2012",livares.com,7,Aneesh Chandran,Aneez Ahmed N,Nov-50,1,Seed,"Aug 1, 2015",—,Seed,—,Technopark Technology Business Incubator,,,,,1
SciWiz Technologies,Android,Brand Marketing,Cochin,Kerala,"An utmost Creative Agency delivering IT services for a bunch of business solutions like Web designing, SEO/SMM services, Graphic Designing",682021,Less than $1M,2012,www.sciwiz.net,1,Rishwan Mammootty,,Nov-50,1,Seed,"Dec 1, 2012","₹ 20,00,000.00",Seed,"₹ 20,00,000.00",,,,,,—
Element42,Information Technology,Software,Bangalore,Karnataka,Element42 Management Solutions is a technology product company in the security and authentication field.,—,—,2013,e42.in/,3,Gaurav Prakash,Mahantesh Kumar,Nov-50,1,M&A,"Sep 20, 2018",—,Seed,—,Alchemist Accelerator,,,,,1
Callystro,Education,MMO Games,Mangalore,Karnataka,"Callystro develops digital learning aids such as Mapoosa, a curriculum-based virtual world for K-12 students.",575003,—,2012,www.callystro.com,3,Rajeev Gopalakrishnan,Sabina Jain,Nov-50,1,Seed,"Mar 1, 2013","$ 36,000.00",Seed,"$ 36,000.00",IIMA Ventures,,,,,1
Mowbly,Collaboration,Enterprise Software,Hyderabad,Andhra Pradesh,Mowbly is a mobility platform that helps enterprises run all their mobile projects through a single mobile solution.,500033,—,"May 9, 2011",www.mowbly.com,2,Sathish Kumar Thangaraj,Vignesh Swaminathan,01-Oct,1,M&A,"Mar 31, 2012",—,Angel,—,,,,,,—
enMarkit,Analytics,Big Data,Gurgaon,Haryana,enMarkit is a social engagement and business intelligence platform that helps businesses connect with their customers.,—,$10M to $50M,2012,www.enmarkit.com,2,Ekta Mittal,Vipin Agarwal,Nov-50,1,Seed,"Aug 29, 2013","$ 11,700.00",Seed,"$ 11,700.00",JFDI.Asia,,,,,1
White Cub,Alternative Protein,Food and Beverage,Delhi,Delhi,White Cub is a vegan food manufacturing company that specializes in manufacturing a wide range of dairy-free food products.,—,—,Jan-12,whitecub.in/,—,,,—,1,Seed,"Jan 1, 2014",—,Seed,—,Unovis Asset Management,,,,,1
Q-Sera,Clinical Trials,Health Care,Kolkata,West Bengal,Q-Sera is an anti-hair loss therapy platform.,700071,$1M to $10M,2012,www.qsera.info,1,Mr. H.K. Paul,,01-Oct,1,Early Stage Venture,"Jun 18, 2012","A$ 20,00,000.00",Series A,"A$ 20,00,000.00",Uniseed Ventures,Medical Research Commercialisation Fund (MRCF),,,,2
mGaadi,Price Comparison,Public Transportation,Kormangala,Karnataka,mGaadi's mission is to dramatically improve the quality of commuting in Indian cities while delivering a suite of livelihood.,560095,—,2013,www.mgaadi.com,2,Solomon Prakash,Vishy Kuruganti,Nov-50,1,M&A,"May 12, 2014",—,Venture - Series Unknown,—,Unitus Ventures,,,,,1
Tpot,Consumer Goods,Food and Beverage,New Delhi,Delhi,Tpot is a global tea and bites startup that uses technology to make tea and bites available to customers.,—,$1M to $10M,2013,www.tpot.in/,2,Atit Verma,Robin Jha,Nov-50,3,Seed,"Mar 26, 2018",—,Seed,—,Chandigarh Angels Network,Ashish Gupta,Benori Ventures,,,3
Gladiris Technologies (SpiderG),Information Technology,Mobile Apps,Pune,Maharashtra,"We consulted companies on their system needs, customized an opensource ERP, executed its implementation.",411001,$1M to $10M,2013,www.spiderg.com,1,Ashwani Kumar Singh Rathore,,Nov-50,1,Seed,"Jun 20, 2016",—,Seed,—,Adi Saravanan,Pravin Dongre,Fusion Tech Ventures,Mahendra Doshi,Rahul Kirloskar,5
Grocery Raja,E-Commerce,Grocery,Coimbatore,Tamil Nadu,Grocery Raja is an online supermarket and grocery shopping store.,—,—,"Jan 1, 2013",groceryraja.com,—,,,—,1,Seed,"Aug 22, 2019",—,Seed,—,Black Wolf Ventures,,,,,1
Ignis IT Solutions,Android,Blogging Platforms,Indore,Madhya Pradesh,Ignis IT Solutions is an IT and BPO services provider delivering solutions that generate business value for their clients.,452001,Less than $1M,2013,www.ignisitsolutions.com,2,Brijendra Tiwari,Shailendra Math,Nov-50,1,Seed,"Aug 9, 2013","$ 50,000.00",Seed,"$ 50,000.00",Brijendra Tiwari,Shailendra Math,,,,2
Bizeso Services Private Limited,Art,Audio,New Delhi,Delhi,"With a mission to bridge the gap between manufacturers and consumers, bizeso.com revolutionizes the experience of online shopping & trading.",110033,$1M to $10M,"Jul 28, 2011",www.bizeso.com,—,,,Nov-50,1,Seed,"Sep 25, 2011",—,Angel,—,Manoj K. Yadav,,,,,1
Techienest,Training,,Jaipur,Rajasthan,Techienest is a technology service provider and training organization.,302018,—,2013,techienest.in/,2,Saurabh Bhardwaj,Siddharth Singh,Nov-50,1,Seed,"Mar 1, 2021",—,Seed,—,Marwari Catalysts,Sushil Sharma,,,,2
Hurricane Media,Advertising,Business Intelligence,Gurgaon,Haryana,"Hurricane Media is a software development, digital marketing and digital advertising company.",122001,—,2012,hurricanemedia.ai/,2,... ...,Saurabh Tripathi,Nov-50,7,Early Stage Venture,"Jun 20, 2019",—,Series B,—,,,,,,—
YatraGenie Services,Tourism,Travel,Bangalore,Karnataka,Yatragenie.com is a travel portal and also widely called as Rural Travel Partner,—,—,Oct-13,www.yatragenie.com/home.verify,1,Renil Komitla,,51-100,1,Early Stage Venture,"Sep 14, 2015",—,Series A,—,Ash Bhardwaj,,,,,1
Customer360,Customer Service,Developer Tools,Mumbai,Maharashtra,"Real time -Screen Sharing, Video Chat, Mobile Centric & Omni-Channel- CustomerInteraction Platform",400054,—,"Sep 1, 2013",www.customer360.co,3,Mayuresh Shilotri,Mitul Thakkar,Nov-50,2,M&A,"May 6, 2015",—,Venture - Series Unknown,"$ 5,00,000.00",Vishwas Patel,,,,,1
Sloyd Ventures,E-Commerce,,Secunderabad,Andhra Pradesh,A new platform for ecommerce with their innovative recommerce business wherein used electronic goods are within the reach of the masses.,500016,$1M to $10M,2012,www.sloyd.in,1,Mitesh Majithia,,Nov-50,1,—,"Nov 6, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Progno Health,Health Care,Insurance,Pune,Maharashtra,"PrognoHealth is a unique healthcare ecosystem, designed to spread awareness about preventive healthcare.",411004,$10M to $50M,2012,prognohealth.com,—,,,51-100,1,—,"Dec 12, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Lifespan,Health Care,Wellness,Mumbai,Maharashtra,Lifespan is a caring endeavour that brings in a level of organised support and healthcare.,400030,$10M to $50M,2012,www.lifespanindia.com/,1,Ashok Jain,,251-500,1,—,"Feb 1, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Zorgers- We The Carers,Health Care,Home Health Care,Mohali,Punjab,"Zorgers specialises in at-home healthcare and offers services such as in-home ICU, critical care, and end-of-life palliative care.",160071,—,"Jan 1, 2013",www.zorgers.com/,1,Varun Gupta,,251-500,1,Seed,"Dec 27, 2021",—,Angel,—,Ritu Marya Family Office,,,,,1
Drivekool.com,Automotive,,Bangalore,Karnataka,Online driving school booking portal.,560037,$1M to $10M,2012,www.drivekool.com/,3,Kumar Gaurav,Mahesh Gidwani,Nov-50,2,Seed,"Jan 1, 2019",—,Seed,—,The Morpheus,Aavya Ventures,,,,2
Mubble,Apps,Mobile Apps,Bangalore,Karnataka,"Mubble automatically creates a bill for your prepaid account by tracking your balances, deductions and data usage",560034,—,2012,www.mubble.in/,3,Ashwin Ramaswamy,Pranav Jha,01-Oct,2,M&A,"Oct 12, 2015",—,Series A,—,Accel,Nandan Nilekani,,,,2
Bookmycab,Automotive,Logistics,Mumbai,Maharashtra,Bookmycab.com is an online/on-call cab booking service in Mumbai. It is the most Economical Radio Taxi Service in Mumbai. Our Drivers well,400093,$1M to $10M,2012,bookmycab.com,1,Avinash Gupta,,101-250,3,M&A,"Jan 5, 2015",—,Venture - Series Unknown,"$ 65,00,000.00",Mumbai Angels,YourNest Venture Capital,Artha Group,Elara Capital,Contrarian Drishti Partners,5
Carmel Organics,Agriculture,AgTech,Indore,Madhya Pradesh,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",—,—,2012,www.carmelorganics.in/,2,Rajesh Sagitla,Shailendra Dhakad,Nov-50,1,Early Stage Venture,"Mar 28, 2018",—,Series A,—,Ankur Capital,,,,,1
MetisMe,Software,,Mumbai,Maharashtra,** What do we do? ** - MetisMe sorts and classifies email attachments to create a smart cloud drive out of it.,400101,$10M to $50M,"Oct 1, 2012",www.metisme.com,1,Shalin Tejpal Jain,,01-Oct,1,Seed,"Jan 1, 2019",—,Seed,—,The Morpheus,,,,,1
M Learning,EdTech,,Indore,Madhya Pradesh,M Learning is an edtech company that provides coaching class lectures through high quality pre-recorded videos.,452001,—,"Aug 25, 2011",www.m-learning.in/,2,Sanchita Gupta,Sundeep Gupta,Nov-50,2,Seed,"Jan 25, 2013","$ 10,00,000.00",Seed,"$ 20,00,000.00",Sundeep Gupta,Sanchita Gupta,,,,2
INDUSaction,Education,Government,New Delhi,Delhi,INDUS ACTION seeks to mobilize public resources and empower communities to solve India's deep-rooted problems in areas,110003,Less than $1M,2013,www.indusaction.org/,1,Tarun Cherukuri,,Nov-50,1,—,"Jan 1, 2016",—,Venture - Series Unknown,—,The Draper Richards Kaplan Foundation,,,,,1
Pristech,Analytics,Data Visualization,Bangalore,Karnataka,"At Pristech, they utilize the best analytics tools and methods.",560076,$10M to $50M,"Jul 22, 2013",www.pparke.in/,1,Shampa Ganguly,,Nov-50,1,Seed,"Jan 18, 2017",—,Seed,—,SB Ventures,,,,,1
SolarTown Energy,Clean Energy,Energy,Chennai,Tamil Nadu,"SolarTown Energy provides clean energy services to homeowners, businesses, schools, non-profits, and government organizations at low costs.",600041,$1M to $10M,2012,solartown.in/,3,Dhanush Kuttuva,Sarath Babu,Nov-50,1,Early Stage Venture,"May 13, 2016",—,Series A,—,GREX,,,,,1
Wildleaf,E-Commerce,,Bangalore,Karnataka,Wildleaf is an e-commerce platform.,560066,—,2012,www.wildleaf.in,—,,,—,1,Seed,"Mar 1, 2022",—,Seed,—,EvolveX Accelerator,,,,,1
Crude Area,Art,E-Commerce,Mumbai,Maharashtra,"Crude Area is an online artists' community, providing wall art and wall decor ideas for personal and business places.",—,$1M to $10M,"Nov 1, 2012",crudearea.com,2,Nidhi Dewan,Shweta Bhandari,01-Oct,2,M&A,"Aug 1, 2013","$ 1,15,015.00",Seed,"$ 1,15,015.00",Vikas Taneja,Sachin Bhatia,Sidharth Rao,Sudesh Samaria,,4
Ryka Commercial Ventures Pvt. Ltd,Professional Services,,Mumbai,Maharashtra,Ryka Commercial Ventures is the holding company for some Future group firms.,400003,—,2012,,—,,,—,1,Private Equity,"Jul 5, 2017",—,Private Equity,—,AION Capital Partners,,,,,1
Phone Warrior,Apps,Messaging,New Delhi,Delhi,Phone Warrior is a Delhi-based startup offering an application that blocks spam calls and text messages.,110092,—,"Jan 26, 2012",phonewarrior.mobi,3,Chandan Gupta,Rohit Raghav,Nov-50,1,Seed,"Dec 9, 2013","$ 5,50,000.00",Seed,"$ 5,50,000.00",Lightspeed Venture Partners,,,,,1
Curefy,Apps,Health Care,New Delhi,Delhi,"Free Immediate Doctor Consultations, 24x7",—,Less than $1M,2013,curefy.in/,2,Mayank Agarwal,Raghav Sehgal,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,GenNext Ventures,,,,,1
Codelearn,E-Learning,Education,Bangalore,Karnataka,Codelearn provides tutorial to learn new technology.,—,Less than $1M,2012,,1,Ashish Sharma,,01-Oct,1,Seed,"Dec 1, 2012","$ 1,50,000.00",Seed,"$ 1,50,000.00",Kima Ventures,,,,,1
Properji,Analytics,Market Research,Bangalore,Karnataka,Properji is technology driven pro-buyer real estate research analytics start-up in India.,560 037,—,2013,properji.com/,1,Priya Maheshwari,,51-100,1,M&A,"Jul 31, 2014",—,Angel,—,,,,,,—
TruJet Airlines,Air Transportation,Translation Service,Hyderabad,Andhra Pradesh,Trujet promoted by Turbo Megha Airways Pvt Ltd is headquartered in Hyderabad.,500037,$10M to $50M,"Mar 14, 2013",www.trujet.com/,—,,,251-500,1,M&A,"Apr 2, 2021",—,Private Equity,—,Interups,,,,,1
Gungroo,Android,Apps,Bangalore,Karnataka,Roo Kids is a safe & fun chat instant messaging app for kids.,560095,—,"Apr 1, 2012",www.rookidsapp.com,1,Dinker Charak,,01-Oct,1,Seed,"Apr 1, 2012",—,Angel,—,Navneet Gosal,Munish Jauhar,Naren Nachiappan,,,3
mVakil - Track Court Cases Live,Information Technology,Internet,Mobile Apps,Software,"mVakil is a mobile app and website that allows its users to follow, share, and search legal court cases and proceedings in real time.",90212,Less than $1M,"Aug 10, 2013",mVakil.com,2,India,Asia-Pacific (APAC),01-Oct,2,Seed,"Dec 11, 2013","$ 2,50,000.00",Angel,"$ 3,50,000.00",Akash OP Aurora,Naveen Khanna,ideaTree Inc.,Akash OP Aurora,,2
Quinto,Hospitality,Location Based Services,Pune,Maharashtra,Get food and restaurant recommendations over a simple chat. Automated. Personalized.,—,$1M to $10M,2012,quintoapp.com/,1,Sahil Khan,,01-Oct,1,Seed,"Jul 5, 2015",—,Seed,—,Jaydeep Barman,,,,,1
Plash,Apps,News,Bengaluru,Karnataka,Smarter Flipboard for India and emerging markets,560034,$1M to $10M,2012,plash.media/,1,Vikas Jha,,Nov-50,1,Seed,"Aug 15, 2013","$ 1,00,000.00",Seed,"$ 1,00,000.00",,,,,,—
Talento Consulting,Consulting,Human Resources,New Delhi,Delhi,"Talento Consulting is a training, skill development and HR solution company.",110066,—,2013,www.talento.in/,1,Ashish A.,,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,IIM Calcutta Innovation Park,,,,,1
Twyst,E-Commerce,Marketing,Gurgaon,Haryana,Twyst is a start-up based out of Gurgaon,122003,$1M to $10M,2013,twyst.in,2,Arun Rajappa,Rahul Chakraborti,Nov-50,1,Seed,"Aug 17, 2015",—,Seed,—,Sunil Nikhar,Rohit Bhatia,,,,2
Cuztomise,Collaboration,Enterprise Software,Indore,Madhya Pradesh,Smarter Enterprise Collaboration tool,452001,—,"Nov 1, 2011",www.cuztomise.com,2,Chirag Gupta,Mohit Jain,01-Oct,1,Seed,"Jul 25, 2014",—,Seed,—,GSF,TA Ventures,,,,2
ajeevi,Consulting,Information Technology,Noida,Uttar Pradesh,"ajeevi - an organization providing consulting, technology, outsourcing and next-generation services in the domain Smartities.",—,—,2012,ajeevi.com,1,Vishal Gupta,,Nov-50,1,Seed,"May 20, 2016",—,Seed,—,AIM Smart City,,,,,1
i7 Networks,Enterprise Software,Mobile,Bangalore,Karnataka,i7 Networks offers BYOD-enabled enterprises with security solutions in enterprise mobility.,560095,$1M to $10M,"Jun 19, 2012",www.i7nw.com,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
—,—,—,Chandra Shekar,Geeta Prakash Gouri,6,—,,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/i7-networks,"$ 1,094.00",https://www.crunchbase.com/person/rao-remala,6,,Manjunath M Gowda,,,,,,,,,,,,
Vana Vidyut,Renewable Energy,,Sivaganga,Tamil Nadu,Vana Vidyut is providing power to people harnessing natural resources.,630 556,Less than $1M,"Jan 1, 2012",vanavidyut.com,2,Satheesh Gundappa,Subramanyam Venkatesam,01-Oct,1,—,"Apr 9, 2012","₹ 18,00,00,000.00",Venture - Series Unknown,"₹ 18,00,00,000.00",Aavishkaar Venture Capital,,,,,1
RainingClouds Technologies,Internet,,Pune,Maharashtra,RainingClouds Technologies is a Tech Start-up that creates a platform that would allow people to implement and continue to innovate.,411005,Less than $1M,2012,rainingclouds.com,4,Akshay Deo,Amit Yadav,01-Oct,1,Seed,"Mar 26, 2012","₹ 1,00,00,000.00",Seed,"₹ 1,00,00,000.00",One97 Mobility Fund,,,,,1
Tebma Shipyards,Shipping,Transportation,Chennai,Tamil Nadu,Tebma Shipyards is one of the three major private sector players in the Indian shipbuilding industry.,600 034,—,2011,www.tebma.com,—,,,501-1000,1,—,"Feb 1, 2007",—,Venture - Series Unknown,—,ICICI Venture,,,,,1
ConnectAbank,Finance,Financial Services,Mumbai,Maharashtra,ConnectAbank was founded by IIM IIT alumnus to alter customer experience and expectations of buying any and all financial products.,400092,Less than $1M,2012,connectabank.com,2,Gopal Dhar,Tarun Kumar,Nov-50,2,Seed,"Sep 21, 2015",—,Angel,—,Vimal Somani,Prakhar Bumb,,,,2
Pracly,Consulting,Internet,Bangalore,Karnataka,Platform to provide entrepreneurs with on-demand business advice from domain experts,—,Less than $1M,"Nov 5, 2013",pracly.com,—,,,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,The Morpheus,,,,,1
bizsol,CRM,Enterprise Resource Planning (ERP),Chennai,Tamil Nadu,bizsol provides enterprise resource planning (ERP) and customer relationship management (CRM) services to SMBs.,600017,—,2011,bizsol.co,1,Amar E. Chakravarthi,,Nov-50,1,Seed,"Feb 1, 2011","$ 50,000.00",Seed,"$ 50,000.00",,,,,,—
Cygnus Hospitals,Health Care,Hospital,Gurgaon,Haryana,Cygnus Hospitals is a Operator of multi-speciality hospitals.,122001,—,2011,cygnushospitals.com,4,Dinesh Batra,Naveen Nischal,1001-5000,1,—,"Jan 1, 2014",—,Venture - Series Unknown,—,Eight Roads Ventures,,,,,1
VSM Solar,"Heating, Ventilation, and Air Conditioning (HVAC)",Manufacturing,Bangalore,Karnataka,"VSM Solar design manufacture and install solar air conditioning, refrigeration, cold storage and other cooling solutions in India, Srilanka.",560 061,—,2011,www.vsmsolar.com,—,,,01-Oct,1,—,"Dec 1, 2011",—,Venture - Series Unknown,—,Fraunhofer Venture,,,,,1
Awesome bazar .com,E-Commerce,Health Care,Gurgaon,Haryana,"Awesome Bazar is an online shopping platform that offers a range of skin care, hair care, pet care, and health care products.",—,—,"May 1, 2013",awesomebazar.com,2,Avinash Mittal,Kanav Sachdeva,Nov-50,1,Seed,"May 31, 2013","$ 1,50,000.00",Seed,"$ 1,50,000.00",HBW group,,,,,1
TunePatrol,Advertising,Music,Bangalore,Karnataka,"TunePatrol is a marketing and monetization tool for musicians, band managers and music labels.",—,Less than $1M,"Mar 30, 2012",tunepatrol.com,1,Brijesh Bharadwaj,,01-Oct,1,Seed,"Aug 1, 2012","$ 20,000.00",Seed,"$ 20,000.00",,,,,,—
SmartPrep,E-Learning,Education,New Delhi,Delhi,SmartPrep provides coaching students to prepare for competitive examinations.,—,—,"Jan 1, 2011",www.smartprepindia.com/,—,,,Nov-50,1,Seed,"Oct 1, 2012",—,Pre-Seed,—,Balaji Telefilms Ltd.,,,,,1
Excellence4u,Consulting,Information Technology,Bangalore,Karnataka,Excellence4u is a Bangalore-based company offering assessment process outsourcing solution for IT industry.,560067,—,2011,excellence4u.in,2,Madhu Rao,Suparna Rao,Nov-50,1,Early Stage Venture,"May 28, 2013","$ 1,00,00,000.00",Series A,"$ 1,00,00,000.00",Swiss Investors Corporation,,,,,1
SSP Advantage,Renewable Energy,,Thane,Maharashtra,"SSP Advantage is a professional, reliable, convenient and trustworthy ‘After Sales Service’ solution.",401107,—,2012,www.sspadvantage.com/,1,Praful Wadyalkar,,51-100,2,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Artha Group,SIDBI Venture Capital,,,,2
Edgefx Technologies,Education,Product Research,Hyderabad,Andhra Pradesh,Aan innovative strategy framework to deliver a range of research products and services to the Business and Education sectors.,500029,—,2011,www.edgefxkits.com,1,Anil Kanodia,,Nov-50,3,—,"Jun 16, 2017",—,Venture - Series Unknown,—,The Chennai Angels,Rahul Maroli,Rajasthan Angel Innovators' Network,,,3
GuideTrip,E-Commerce,Guides,Delhi,Delhi,GuideTrip is a community marketplace for people to book travel experiences directly with knowledgeable and reliable local guides.,—,Less than $1M,2013,www.guidetrip.com/,1,Arjun Sachdeva,,01-Oct,1,Seed,"Jul 25, 2014",—,Seed,—,TA Ventures,,,,,1
Spunkmobile,Finance,Gaming,Mumbai,Maharashtra,Spunk Mobile is a Mobile Internet Network with a focus in Emerging Markets.,—,Less than $1M,2012,www.spunkmobile.com,—,,,01-Oct,1,Seed,"Jan 1, 2013","$ 2,00,000.00",Seed,"$ 2,00,000.00",TA Ventures,,,,,1
MyTechWay Solutions,Information Technology,Mobile Apps,Ahmedabad,Gujarat,"SaaS, Mobile App Development,",380015,—,Jun-12,www.mytechway.com/,1,Valay Patel,,Nov-50,1,Seed,"Jun 15, 2013","$ 50,000.00",Pre-Seed,"$ 50,000.00",,,,,,—
jnaapti,Corporate Training,Education,Bangalore,Karnataka,Jnaapti is a technical skill development company providing customized and personalized learning solutions.,560038,$1M to $10M,"May 19, 2011",jnaapti.com/,1,Gautham Pai,,Nov-50,1,Seed,"May 19, 2011",—,Seed,—,,,,,,—
1CALLFix Solutions,Building Maintenance,Computer,Nellore,Andhra Pradesh,1CALLFix - The One call repair service,524003,$1M to $10M,2013,www.1callfix.com/,1,Mohammed Shabbeer Shaik,,1001-5000,1,Seed,"Jan 1, 2014","₹ 10,00,000.00",Seed,"₹ 10,00,000.00",,,,,,—
Welcare,Health Care,Health Diagnostics,Chennai,Tamil Nadu,Welcare Health Systems Private Ltd is an affordable eye screening services company.,600050,$1M to $10M,2013,welcaretelemed.com/,1,Tamilarasan Senthil,,Nov-50,1,Seed,"Dec 17, 2013","$ 1,00,000.00",Seed,"$ 1,00,000.00",Unitus Ventures,,,,,1
Qrius (formerly The Indian Economist),Digital Media,,Pune,Maharashtra,"High quality commentary and analysis on economics, policy and culture",411028,—,"Dec 26, 2012",qrius.com/,1,Manan Vyas,,51-100,1,Seed,"Feb 1, 2019",—,Seed,—,Guild Capital,,,,,1
Padhaaro,Tourism,Travel,Bangalore,Karnataka,On-demand local travel experiences,560034,Less than $1M,2012,www.padhaaro.com/,2,Ish Jindal,Sanchit Malik,01-Oct,1,Seed,"Jan 15, 2014","$ 10,000.00",Seed,"$ 10,000.00",,,,,,—
Purple Ironing Services,Retail,,Coimbatore,Tamil Nadu,Purple Ironing is a common man’s attempt to get the ironing service spectrum in order.,641036,—,2012,www.purpleironingservices.com/,2,Vijay Sarathy,Vivek CM,Nov-50,1,Seed,"Nov 1, 2015",—,Seed,—,Keiretsu Forum Northwest,,,,,1
Kin housing,Professional Services,Real Estate,Bangalore,Karnataka,Kin Housing is an investment management and professional services company with a focus on the real estate market.,—,$10M to $50M,"Nov 19, 2013",www.kinhousing.com,—,,,51-100,1,Seed,"Nov 25, 2013","$ 3,00,000.00",Seed,"$ 3,00,000.00",,,,,,—
Vibri Media,Medical,,Hyderabad,Andhra Pradesh,Vibri Media Private Limited,500033,—,2012,vibri.in,—,,,01-Oct,1,—,"May 15, 2012",—,Venture - Series Unknown,—,Brand Capital,,,,,1
CouponRani,Coupons,E-Commerce,Bangalore,Karnataka,Online Coupons for Indian Shoppers,560024,$1M to $10M,"Aug 1, 2012",www.couponrani.com,1,Ravi Trivedi,,Nov-50,1,Seed,"Feb 23, 2016",—,Seed,—,Srijan Capital,,,,,1
