company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
Resonance,Analytics,Artificial Intelligence (AI),Delhi,Delhi,Resonance is your smart data assistant which eliminates the need for pre-built reports.,—,—,2017,rdata.tech/,3,Rantej Singh,Nov-50,1,Seed,"Aug 21, 2019",—,Angel,—,Inflection Point Ventures,1,Shishir Kapoor,,,,
Freshcut Organic Products,Waste Management,,Calicut,Kerala,Freshcut Organic Products is a waste management company.,673573,—,"Jun 7, 2017",freshcut.in/,1,Augustine Peous,—,1,Seed,"Jan 1, 2019",—,Seed,—,AIM Smart City,1,,,,,
Timeus,Blockchain,Cryptocurrency,New Delhi,Delhi,Timeus is a blockchain protocol adapted to the needs of corporate clients and has a number of unique technical solutions.,—,—,"Jan 3, 2018",timeus.org,1,Roman Said,01-Oct,1,Seed,"Jul 6, 2019",—,Seed,—,,—,,,,,
Acquafront Infrastructure,Civil Engineering,Industrial Design,Kanpur,Uttar Pradesh,Acquafront Infrastructure designs flotation solutions in maritime and inland waterways infrastructure.,208016,—,Mar-18,www.acquainfra.com/,2,Achin Agrawal,01-Oct,1,Seed,"Jul 2, 2020",—,Seed,—,National Research Development Corporation,1,Ankit Patel,,,,
GSTInput,Credit,Financial Services,Mumbai,Maharashtra,GSTInput develops an online GST credit automation platform to automate GST credit on travel expenses of an organization.,—,—,2017,gstinput.com/,1,Rohit Anand,01-Oct,1,Seed,"Jan 26, 2020",—,Pre-Seed,—,Techstars,1,,,,,
R2E Technologies,Information Technology,Innovation Management,Dehra Dun,Uttarakhand,R2E Technologies is a technology-driven consulting company for digital innovation and development.,—,—,2018,r2e.in/,—,,Nov-50,1,—,"Jan 1, 2022",—,Venture - Series Unknown,—,Pontaq,1,,,,,
FeedByMe Media,Media and Entertainment,,Bengaluru,Karnataka,"Global leading media-tech company for Startup, Tech, Business, Stories of the entrepreneur in YOU!",560102,—,2017,www.feedbyme.com/,—,,01-Oct,1,Seed,"Oct 1, 2017",—,Pre-Seed,—,,—,,,,,
Any Time Classes,E-Learning,Education,New Delhi,Delhi,Any Time Classes is a learning app with creative visual content for post-class 10th commerce students.,110009,—,"Dec 27, 2017",atcanytimeclasses.com/,4,Bhavesh Jatania,Nov-50,1,Seed,"May 18, 2020",—,Seed,—,Mumbai Angels,1,CA Kumar,,,,
Misht,Food and Beverage,Food Processing,Haryana,Haryana,Misht is a food and beverage company.,122022,—,2017,mishtfood.com/,3,Pawan Raj Kumar,—,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Roots Ventures,1,Shoaib Kohli,,,,
ConnectCapital,Consulting,Incubators,Bombay,Maharashtra,ConnectCapital is an Indian IT incubator.,400 018,$1M to $10M,2017,www.connectcapital.com,—,,01-Oct,1,Seed,"May 1, 2000",—,Seed,—,Insight Partners,1,,,,,
EdHusk,Education,,Jaipur,Rajasthan,EdHusk is an education startup that provides services at students' homes.,—,—,"May 15, 2017",www.edhusk.com/,2,Anuj Bhuria,01-Oct,1,Seed,"Jul 7, 2020",—,Angel,—,Mumbai Angels,1,Himanshu Kumar,,,,
Botsite,Information Services,Information Technology,New Delhi,Delhi,"BotSite is the conversations hub that brings the right context,people, information, and tools together.",—,—,2018,searchbotsite.com/,1,Pratik Sharma,51-100,1,Seed,"Aug 9, 2019",—,Seed,—,India Accelerator,1,,,,,
Plantigo Health,Fast-Moving Consumer Goods,Health Care,Mumbai,Maharashtra,Plantigo is a plant-based vegan health & nutrition brand for consumers of the modern world.,400025,—,2018,plantigo.in/,1,Umesh Chhazzed,Nov-50,1,Seed,"Sep 10, 2020",—,Seed,—,,—,,,,,
YeShopy,Consumer Reviews,Coupons,Delhi,Delhi,YeShopy.com provides coupon code as well as price comparison for online shopping that will help buyers to buy products at lowest price.,—,—,"Jan 17, 2018",www.yeshopy.com/,,,,,,,,,,,,,,,,
"yeshopy.com will show the buyer's interested products by using Machine Learning and Artificial Intelligence Technologies

3. YeShopy.com will provide coupon code as well as product price comparison 

4. YeShopy.com will provide roducts reviews",—,—,,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/yeshopy,—,,,,—,,,,,,,,,,,,,,,,
Yoro,News,Social Network,Bengaluru,Karnataka,Yoro is a micro-social network that focuses on news consumption.,560 038,$1M to $10M,2017,helloyoro.com/,1,Sapan Shah,01-Oct,1,Seed,"Mar 11, 2021",—,Seed,—,ah! Ventures,1,,,,,
Hirexp,Information Services,Information Technology,Gurgaon,Haryana,Hirexp is a recruitment automation software to enhance candidate experience and increase recruiters productivity.,—,Less than $1M,"Jan 15, 2017",www.hirexp.com/,2,Marina Zolotoverkh,Nov-50,2,Seed,"Mar 8, 2018",—,Angel,—,Ambarish Gupta,2,Vikas Kakkar,Marina Zolotoverkh,,,
Signity Corporate Solution Pvt Ltd,Consulting,Education,Kanpur,Uttar Pradesh,IT services and Staffing firm.,208001,—,"Nov 17, 2017",signitycs.com/,1,Irfan siddiqui,Nov-50,1,Seed,"Apr 1, 2023",—,Seed,—,,—,,,,,
8om,Business Development,SaaS,New Delhi,Delhi,8om is a SAAS service provider.,110019,$1M to $10M,2017,8om.io,—,,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,GPA group,1,,,,,
Boudhik Ventures,Consulting,,Noida,Uttar Pradesh,"Boudhik Ventures assists innovators, creators, entrepreneurs in strategizing their business growth based on innovative solutions",201301,—,Dec-17,boudhikventures.com/,1,Vivek Dahiya,01-Oct,1,M&A,"Nov 1, 2020",—,Seed,—,,—,,,,,
Travelspice,Hotel,Online Portals,Bangalore,Karnataka,"India’s 1st , only and rapidly growing Opaque Platform to increase Occupancy of Hotels",—,$1M to $10M,2017,www.travelspice.com/,3,ANKIT MANGLIK,Nov-50,2,Early Stage Venture,"May 20, 2017",—,Series A,—,Eagle10 Ventures,1,Prashant Mitta,,,,
