company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
Wellcure,Fitness,Health Care,Haryana,India,Wellcure is a health tech platform aiming to democratize natural healing.,122011,$1M to $10M,2018,www.wellcure.com/,4,Ankur Bhatia,",,,",01-Oct,1,Seed,"Jul 29, 2020","$ 2,00,000.00",Seed,Inflection Point Ventures,,,,,,
ParkSmart,Apps,Automotive,New Delhi,Delhi,ParkSmart is a parking management application.,—,—,"Jan 1, 2018",www.parksmart.in/,5,Prateek Garg,01-Oct,2,Seed,"May 16, 2021",—,Seed,"₹ 1,50,00,000.00",ah! Ventures,5,Rahul Gupta,Campus Fund,Marwari Angels,Dilesh Gathani,Shireen Rangaswamy
Goofy Tails,Nutrition,Pet,Delhi,Delhi,Goofy Tails is a premium pet supplies company.,110020,—,2018,goofytails.com/,—,,Nov-50,1,Seed,"Oct 10, 2022","$ 5,00,000.00",Seed,"$ 5,00,000.00",The Chennai Angels,2,,BeyondSeed,,,
HomeZop,Property Development,Real Estate,Gurgaon,Haryana,Homezop is a property development real estate company that builds and sells homes.,122003,—,"Jan 18, 2017",homezop.com/,2,Anish Gomez,Nov-50,1,Seed,"Apr 27, 2017","$ 70,000.00",Pre-Seed,"$ 70,000.00",,—,Prateek Rathee,,,,
Selltm (acquired by Snapdeal),B2B,E-Commerce,Gurgaon,Haryana,India's Fastest Growing Social Commerce for Digital Services and Physical Products. Acquired by Snapdeal in September 2019,—,$1M to $10M,Jan-18,www.selltm.com,2,Prakhar Saxena,Nov-50,1,Seed,"Apr 1, 2018","$ 5,00,000.00",Seed,"$ 5,00,000.00",India Quotient,1,Rohan Thakur,,,,
Wehouse,Architecture,Construction,Hyderabad,Andhra Pradesh,Wehouse is a tech-based aggregator of construction services.,500 034,—,2017,www.wehouse.in,1,Sripad Nandiraj,51-100,1,Seed,"May 15, 2022","$ 10,00,000.00",Seed,"$ 10,00,000.00",Anthill Ventures,1,,,,,
Payzello,Banking,Financial Services,Hyderabad,Andhra Pradesh,"Payzello is a mobile-first bank account, credit and payment solution provider.",500032,—,2017,payzello.com/,2,Pruthiraj Rath,Nov-50,4,Seed,"Aug 15, 2021","$ 5,00,000.00",Seed,"$ 6,17,000.00",Vel Kanniappan,2,Thomas George,Anand Nagloor,,,
infoMicroFin,Artificial Intelligence (AI),Financial Services,Chennai,Tamil Nadu,infoMicroFin is a SaaS Banking Platform that delivers digital finance solutions for any financial Institution.,600015,—,Aug-17,infomicrofin.com/,2,Anoop Mohan,01-Oct,2,Seed,"Jul 19, 2018","₹ 15,00,000.00",Seed,"₹ 45,00,000.00",WhileOfOne Innovation Labs,1,Santhosh Kumar,,,,
PrimeOS,Software,,Delhi,Delhi,PrimeOS is the ideal Android based OS for mobile games on PC/Laptop.,—,—,2017,www.primeos.in/,—,,01-Oct,2,Seed,"Dec 1, 2022","$ 10,00,000.00",Seed,"$ 10,00,000.00",Venture Catalysts,7,,Kundan Refinery,Vikas Kapoor,Brindavan Group,Yogesh Chaudhary
Foore,Enterprise Software,Marketing Automation,Bangalore,Karnataka,Customer Messaging Platform for Brick and Mortar Businesses.,560017,$1M to $10M,Feb-18,www.foore.in,1,Ravinder Singh,01-Oct,1,Seed,"Feb 6, 2018","₹ 45,00,000.00",Pre-Seed,"₹ 45,00,000.00",,—,,,,,
QTalk,Apps,Mobile Apps,Bengaluru,Karnataka,QTalk is a smart dialer designed to make any phone conversations fun and stress-free.,—,$1M to $10M,"Jan 1, 2018",www.qtalk.io,2,Advaith Vishwanath,Nov-50,1,Seed,"Mar 7, 2020","$ 16,00,000.00",Seed,"$ 16,00,000.00",Lightspeed India Partners,2,Sagar Modi,Accel India,,,
BhaiFi - 360° WiFi Solution,B2B,Information Technology,Gurgaon,Haryana,BhaiFi is an IT product based startup company.,122003,—,"Dec 6, 2017",bhaifi.com/,1,Ankit Verma,01-Oct,1,Seed,"Mar 19, 2018","$ 60,000.00",Pre-Seed,"$ 60,000.00",,—,,,,,
Carragreen,Manufacturing,,Indore,Madhya Pradesh,Carragreen provides eco-friendly alternatives for food packaging and stationery products.,—,—,2018,carragreen.com/,—,—,,,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/carragreen,1,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/carragreen,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/carragreen,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/carragreen,https://www.crunchbase.com/person/anupam-mittal,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_investors/carragreen,,",",https://www.crunchbase.com/person/peyush-bansal,
CaroCure Discovery Solutions Private Limited,Artificial Intelligence (AI),Biotechnology,Hyderabad,Andhra Pradesh,CaroCure is a rational drug discovery company employing innovative technologies to design and create best-in-class drug candidates,500 101,$1M to $10M,"Dec 20, 2017",carocure.com/,1,Kranthi Raj Kodamala,01-Oct,1,Seed,"May 20, 2019","$ 7,00,000.00",Seed,"$ 7,00,000.00",Murali Chand Ginjupalli,1,,,,,
Opfin,Human Resources,Outsourcing,Gurgaon,Haryana,"Opfin is a best payroll software, payroll companies for small business",—,—,2017,www.opfin.com/,1,Anuj Jain,01-Oct,1,M&A,"Aug 19, 2014","$ 1,20,000.00",Seed,"$ 1,20,000.00",Y Combinator,1,,,,,
MentorMind,E-Learning,Education,Hyderabad,Andhra Pradesh,MentorMind is an online platform where students & young professionals can access & work on real-time work situations.,500033,—,2017,www.mentormind.in/,4,Luvieen Alva,Nov-50,2,Seed,"Jul 22, 2021",—,Seed,"$ 1,15,300.00",Village Capital,2,Megha Gajjala,Axilor Ventures,,,
Saarthi.ai,Analytics,Artificial Intelligence (AI),Bangalore,Karnataka,Omnichannel Multilingual Enterprise AI platform maximizing success in lending and collections through personalized communication.,560103,—,"Feb 1, 2017",saarthi.ai,4,Piyush Dangaich,51-100,3,Seed,"Jul 1, 2022",—,Seed,—,Microsoft,10,Sameer Sinha,LetsVenture,NASSCOM Foundation,Nvidia Inception,Kunal Shah
Prithvi.ai,Artificial Intelligence (AI),Data Mining,Noida,Uttar Pradesh,Prithvi.ai is a seed stage accelerator program.,201301,—,2018,prithvi.ai/,2,Himanshu Ujjawal Singh,01-Oct,2,Seed,"Sep 15, 2019","₹ 1,00,00,000.00",Seed,"₹ 1,00,00,000.00",India Accelerator,1,Nandan Mishra,,,,
Bootstart,Coworking,Hospitality,Pune,Maharashtra,"Bootstart Co-working will support you with a modern, pleasant, and above all a favorable co-working space.",411001,—,"Mar 24, 2017",www.bootstart.in,4,Abhiraj Kulkarni,Nov-50,2,Private Equity,"Dec 1, 2020","$ 10,00,000.00",Private Equity,"$ 18,00,000.00",,—,Atul Shinde,,,,
Vidcare Innovations,Health Care,,Pune,Maharashtra,"Vidcare Innovations is a startup that develops portable health tests to make diagnostic testing convenient, accessible to everyone.",—,—,"Jul 19, 2017",www.vidcare.in,1,Rohan Aggarwal,01-Oct,2,Seed,"Aug 25, 2022","$ 3,00,000.00",Pre-Seed,"$ 3,00,000.00",JioGenNext,4,,Social Alpha,Derbi Foundation,Lavni Ventures,
ChintaMoney,iOS,,Bangalore,Karnataka,"ChintaMoney is a mobile application that enables a person to segregate, save, invest and spend money for different purposes.",560010,$1M to $10M,"Oct 11, 2017",chinta.money,2,Narahari Rao,01-Oct,3,Seed,"Dec 4, 2021",—,Pre-Seed,"$ 1,20,000.00",Techstars,3,Uday Wagh,Startupbootcamp Australia,Vaibhav Sisinty,,
The Krishi,Agriculture,Education,Gurgaon,Haryana,The Krishi is an AI-based mobile app that educating farmers about modern agricultural practices.,122010,—,2018,www.krishinetwork.com,1,Ashish Mishra,Nov-50,4,Seed,"Feb 10, 2022","$ 5,71,000.00",Seed,"$ 7,82,272.00",TiE SoCal Angels,2,,Pankaj Tripathi,,,
Aadar,Fitness,Health Care,Mumbai,Maharashtra,Aadar is an Ayurveda Healthcare company building in-house natural and effective products.,—,—,2018,aadar.co/,2,Aadil Shah,01-Oct,1,Seed,"Jan 11, 2020","$ 2,50,000.00",Seed,"$ 2,50,000.00",LetsVenture,3,Pratul Mangal,Sprout Venture Partners,Robert Finzi,,
HostGoi,Web Hosting,,Jalpaiguri,West Bengal,HostGoi provides simple and fast Cloud Hosting services with real 24/7/365 technical support.,735306,$1M to $10M,2017,www.hostgoi.com,2,Debojyoti Sen,01-Oct,1,Seed,"Jan 3, 2018","$ 50,00,000.00",Seed,"$ 50,00,000.00",,—,Jay Prakash,,,,
Niveshi - Invest like the Experts,Artificial Intelligence (AI),Financial Services,New Delhi,Delhi,Niveshi is an AI powered investment fund.,110034,—,2018,niveshi.com/,2,Deepender Singla,01-Oct,1,Seed,"Oct 1, 2018","₹ 20,00,000.00",Pre-Seed,"₹ 20,00,000.00",Anupam Mittal,2,Rahul Goyal,Ritesh Jain,,,
Happy Cow Dairy,Agriculture,Farming,Mumbai,Maharashtra,Happy Cow Dairy is a startup which aggregates milk from dairy farmers in rural Maharashtra.,—,—,2017,happycowdairy.co.in,1,Sarad Garodia,251-500,1,Seed,"Apr 27, 2018","₹ 5,97,756.00",Seed,"₹ 5,97,756.00",Mahendra Mehta,1,,,,,
Expand My Business,Apps,Consulting,Gurgaon,Haryana,Expand My Business is India's first managed marketplace for B2B digital services.,122016,—,"Jan 1, 2018",www.exmyb.com,2,Nishant Behl,51-100,1,Seed,"Feb 4, 2021",—,Seed,—,Campus Fund,2,Rohan Raj Barua,Bharat Dhirajlal Shah,,,
Pivotchain Solutions,Computer,Machine Learning,Pune,Maharashtra,PivotChain is a Data science company.,411014,$1M to $10M,2017,www.pivotchain.com/,1,Deepak Rao,Nov-50,2,Seed,"Aug 10, 2019",—,Seed,"$ 2,94,000.00",Startup-O,1,,,,,
EpitronX,Human Resources,Staffing Agency,Madurai,Tamil Nadu,Human Resources Talent Partner,625016,—,2018,www.epitronx.tech,2,Balagurunathan Navanathan,Nov-50,2,Seed,"Jan 1, 2022","₹ 75,00,000.00",Seed,"₹ 1,25,00,000.00",Balagurunathan Navanathan,2,Sriram Srinivasadesikan,Sriram Srinivasadesikan,,,
Azah,Consumer Goods,Health Care,Delhi,Delhi,"Azah,is a premium organic wellness startup for women",110058,—,2018,azah.in/,2,Aqib Mohammed,01-Oct,2,Seed,"Dec 18, 2019",—,Seed,"$ 2,00,000.00",Titan Capital,1,Shashwat Diesh,,,,
Jetbrain Robotics,Health Care,Hospital,Gurgaon,Haryana,"Jetbrain Robotics is a Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",122001,$1M to $10M,"Mar 21, 2018",jetbrain.ai,3,Adam Steinhoff,Nov-50,2,M&A,"Nov 30, 2018","$ 1,50,000.00",Pre-Seed,"$ 1,80,000.00",Brinc,1,Ajay Vishnu,,,,
Shadez,Chemical,Home Decor,Mumbai,Maharashtra,Shadez which promises to deliver interior painting job in one day.,—,$1M to $10M,2018,paintwithshadez.com/,2,Adarsh Anand,01-Oct,2,Seed,"Sep 15, 2021","$ 2,00,000.00",Seed,"$ 3,00,000.00",Inflection Point Ventures,1,Amit Tiwari,,,,
IndigoLearn,E-Learning,Education,Hyderabad,Andhra Pradesh,India's the premier education destination catering to the needs of aspiring students of the CA community.,—,Less than $1M,Mar-17,www.indigolearn.com,4,Sarat Velumuri,Nov-50,2,Seed,"Jan 18, 2019","$ 1,35,000.00",Angel,"$ 2,85,000.00",Maheshwer Peri,4,Sathya Raghu Mokkapati,Jamshed Jeejeebhoy,Vivek Subramanian,Girish Vyasamudri,
Policy Ensure,Auto Insurance,Health Insurance,Gurgaon,Haryana,"With the aim of making India independent and secured, increase employment and being a catalyst for the growth of small towns",122001,—,"Jan 1, 2017",policyensure.com/,2,Pankaj Vashishtha,1001-5000,1,Seed,"Apr 1, 2017","$ 12,50,000.00",Seed,"$ 12,50,000.00",,—,RAHUL MEENA MISHRA,,,,
Econolytics,Analytics,Machine Learning,New Delhi,Delhi,Econolytics is simple and driven to make the most efficient data analytic marketplace.,110017,—,2018,www.econolytics.in,2,Jahnavi Mahanta,01-Oct,2,Seed,"Apr 1, 2019","₹ 5,00,000.00",Seed,"$ 37,225.00",Zone Startups In,1,Pritha Datta,,,,
Grufity,Analytics,Financial Services,Bangalore,Karnataka,Grufity is an one-stop destination for financial data and analysis.,—,—,"Jan 1, 2017",www.grufity.com/,—,,01-Oct,2,Seed,"Aug 1, 2019","₹ 2,07,00,000.00",Pre-Seed,"₹ 2,71,00,000.00",Venture Highway,1,,,,,
Sunlom Technologies Private Limited,GPS,Location Based Services,Delhi,Delhi,At Sunlom Technologies Pvt. Ltd. we try to help Tracking technology reach end customers and let them make the most out of it.,110071,$1M to $10M,2018,www.trackyoursawari.com/,1,Sandeep Shokeen,01-Oct,1,Early Stage Venture,"Feb 1, 2018","₹ 2,00,00,000.00",Series A,"₹ 2,00,00,000.00",,—,,,,,
Dockabl,SaaS,Software,New Delhi,Delhi,"Dockabl enhances productivity, enables continuous performance, and drives engagement in an effective way.",—,$1M to $10M,"Apr 11, 2017",www.dockabl.com/,2,Samarth Masson,Nov-50,1,M&A,"Jun 6, 2019","$ 12,60,000.00",Seed,"$ 12,60,000.00",Aditya Berlia,4,Sanjeev Grover,Angad Singh,Sanjay Kapoor,Arun Kapur,
Dream Holdings,Agriculture,AgTech,Jaipur,Rajasthan,"Dreamholdings Company, dealing primarily in Real-Estate.",302 001,Less than $1M,2017,www.dreamholdings.in/,2,Ashish Sharma,01-Oct,1,—,"May 17, 2017","$ 3,43,01,639.00",Venture - Series Unknown,"$ 3,43,01,639.00",,—,Guy Blanchard,,,,
Aantriksh,Aerospace,Space Travel,Bengaluru,Karnataka,"A Space exploration, technology, innovation, & education company.",—,$1M to $10M,"Jul 7, 2017",antrikshh.my-free.website/,1,Ankit Kumar,Nov-50,2,Private Equity,"Jul 14, 2018","₹ 1,20,00,000.00",Private Equity,"₹ 2,05,00,000.00",Ankit Kumar,1,,,,,
Invincible Publishers,EdTech,Education,Gurgaon,Haryana,"Book Publishing, eLearning, SAAS",122022,—,"Apr 1, 2017",www.invinciblepublishers.com,2,Ajay Setia,51-100,1,Seed,"Sep 10, 2021","$ 7,00,000.00",Pre-Seed,"$ 7,00,000.00",High Net worth Investor,1,Sagar Setia,,,,
Raw Nature,Cosmetics,,Mumbai,Maharashtra,Raw Nature is a grooming products company.,400022,$1M to $10M,2017,www.rawnaturecompany.com,2,Mohit Saxena,Nov-50,1,Seed,"Nov 1, 2019","$ 3,60,000.00",Seed,"$ 3,60,000.00",Venture Catalysts,1,Sangita Desai,,,,
Oga,Media and Entertainment,,Bangalore,Karnataka,Building the world's best dance app.,—,—,Mar-17,oga.so/,1,Ashish Rawat,Nov-50,5,Seed,"Jan 1, 2022",—,Seed,"$ 11,80,000.00",Inflection Point Ventures,8,,9Unicorns Accelerator Fund,SARVA,Joyance Partners,Mitesh Shah
MetroMedi,Health Care,Pharmaceutical,Hyderabad,Andhra Pradesh,Metromedi is an Online Pharmacy and e-health store.,500082,$1M to $10M,2018,www.metromedi.com/,1,Maruthi Medisetti,101-250,1,Seed,"Oct 3, 2019","$ 15,00,000.00",Seed,"$ 15,00,000.00",TK GP Rao,1,,,,,
Couch Fashion - The AI Fashion Assistant,Artificial Intelligence (AI),E-Commerce,Delhi,Delhi,CouchFashion is an A.I. Fashion Assistant. The answers given by the bot are always personalized to users body type and other preferences.,—,—,Feb-17,deck.couchfashion.com/,4,Arenla Jamir,01-Oct,1,Seed,"Feb 23, 2021","$ 1,50,000.00",Seed,"$ 1,50,000.00",We Founder Circle,2,Kushal Likhi,Dholakia Ventures,,,
DolphinChat,Artificial Intelligence (AI),Government,New Delhi,Delhi,"DolphinChat is a social intelligence organisation, working to revolutionize, how governments and citizens share and utilize data.",110064,Less than $1M,"Sep 5, 2017",www.civilcops.com,3,Ashish Sharma,01-Oct,5,M&A,"Dec 1, 2020",—,Seed,"$ 3,43,700.00",SOSV,5,Kusha Kohli,Startupbootcamp,Agility Ventures,Dhianu Das,Guerrilla Ventures
Edisn.ai,Artificial Intelligence (AI),Computer,Bangalore,Karnataka,Edisn.ai is an AI powered fan engagement platform with state-of-the-art player recognition and contextual content delivery,560038,—,2018,edisn.ai/,2,Akshay Chandrasekhar,01-Oct,2,M&A,"Feb 21, 2021",—,Seed,"$ 70,000.00",Techstars,2,Ashok Karanth,Spark Growth Ventures,,,
UrbanDart,B2B,Consulting,Hyderabad,Andhra Pradesh,"UrbanDart is an All-in-One business platform for SMBs that helps them automate, digitize and expand their business.",—,$1M to $10M,"Jun 15, 2017",www.urbandart.com,—,1,Nithin Baalay,Nov-50,2,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/urbandart,"Aug 31, 2018","$ 1,55,000.00",Angel,"$ 2,10,900.00",—,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,,,,
SnackAmor,Food and Beverage,Food Processing,Mumbai,Maharashtra,SnackAmor is a healthy snack maker.,400072,$1M to $10M,2017,snackamor.com/,1,Deepak Grover,01-Oct,3,Seed,"Aug 19, 2021",—,Seed,"$ 10,00,000.00",VANS Investments,8,,Tarek Sadi,Srinivas Chunduru,Simmarpal Singh,Sanchit Agarwal
Loca,Internet,Travel,Bangalore,Karnataka,Loca is a smart shuttle Bengaluru based company.,560076,—,2018,www.locarides.com/,1,Gautam Patil,Nov-50,1,Seed,"Oct 23, 2019","$ 10,00,000.00",Seed,"$ 10,00,000.00",Fosun RZ Capital,5,,Stellaris Venture Partners,Rohit M.A.,Aprameya Radhakrishna,Mayank Bidawatka
NOFILTR,,,Maharashtra,India,"Social Media, Influencer Marketing, Travel & Lifestyle",400018,—,2017,www.nofiltr.social,3,Prashant Sharma,",,",101-250,2,Early Stage Venture,"Nov 26, 2018","$ 3,00,000.00",Series A,,—,,,,,
Vrizm,Augmented Reality,Gaming,Ahmadabad,Gujarat,Vrizm is dedicated to Virtual Reality and strives to make the technology simplified and available for masses.,—,—,"Jan 1, 2017",www.vrizm.com,1,Deep Patel,01-Oct,1,Seed,"Apr 14, 2022","$ 21,00,000.00",Seed,"$ 21,00,000.00",,—,,,,,
GoAid,Health Care,Medical,Delhi,Delhi,GoAid is India’s first and fastest ambulance service app with a whopping 1 Million+ customers. Currently Available in 15+ cities,—,—,"Jan 1, 2018",www.goaid.in,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/goaid,https://www.crunchbase.com/person/rakesh-kumar-15a9,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/goaid,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/goaid,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/goaid,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/goaid,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/goaid,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/goaid,,",",—,,,
Trodly,E-Commerce,Internet,Bangalore,Karnataka,"Trodly is a trusted online platform for people to discover and book exciting activities, tours and experience for their trips.",560048,$1M to $10M,"Jan 5, 2018",www.trodly.com,2,Ankit Jindal,Nov-50,1,Seed,"Sep 1, 2018","$ 25,000.00",Pre-Seed,"$ 25,000.00",,—,Vikas Johiya,,,,
Z2P,Apps,Financial Services,Mumbai,Maharashtra,Credit-analysis and micro-loans to people based on proprietory credit algorithms based on machine learning.,400098,—,"Feb 14, 2017",z2p.today,1,Rajat Yadav,Nov-50,2,M&A,"May 8, 2017","$ 15,500.00",Angel,"$ 90,200.00",,—,,,,,
Modaka Technologies,Apps,Augmented Reality,Bengaluru,Karnataka,ModakaTech's product Camweara is a market leader in AR and game changer for online retailers.,560041,—,"Nov 15, 2017",modakatech.com/,2,Vasantha H Raj M,01-Oct,1,Seed,"Feb 20, 2018","$ 80,000.00",Pre-Seed,"$ 80,000.00",,—,Vedant B Hegde,,,,
HungryTripper,Internet,Social Network,Bangalore,Karnataka,"HungryTripper is India's first travel platform to bring the goodness of social media, trip booking, and rewards under a common roof.",560041,$1M to $10M,"Feb 16, 2017",hungrytripper.com/,2,Harish Ramasamy,Nov-50,2,Seed,"Sep 1, 2019","$ 1,00,000.00",Pre-Seed,"$ 1,63,000.00",,—,Sidharth Beckaya,,,,
Lal10,Consumer Goods,E-Commerce,Noida,Uttar Pradesh,"Lal10 enables creative manufacturing MSMEs to easily digitize, manage, and sell their inventories for cross-border wholesale.",201301,$1M to $10M,"Jan 26, 2017",lal10.com,3,Albin Jose,51-100,7,Seed,"Jul 19, 2022","$ 40,00,000.00",Seed,"$ 90,80,000.00",HDFC Bank,27,Maneet Gohil,BlackSoil,Beyond Capital,Sorenson Impact,Asymmetry Ventures
Quali55Care,Health Care,,Mumbai,Maharashtra,Quali55Care provides durable medical equipment on a rental and sale platform.,400077,—,2018,quali55care.com/,2,Harddik K Patel,Nov-50,2,Seed,"Jul 15, 2022","$ 1,00,000.00",Angel,"$ 1,65,000.00",ah! Ventures,4,Raj Manta,India Accelerator,Rohit Sharma,Jeegar Kothari,
Countingwell,E-Learning,EdTech,Bengaluru,Karnataka,Countingwell is a dedicated maths learning app for students in middle school.,560070,—,2018,www.countingwell.com/,2,Nirmal Shah,Nov-50,1,Seed,"Dec 15, 2020","$ 10,00,000.00",Seed,"$ 10,00,000.00",Interstar Advisory,2,Ravi Jitani,Delhi Private School Sharjah,,,
PYT,Mobile Apps,Social Media,Chandigarh,Chandigarh,"A Social Network you can trust to explore travel stories of friends, plan and book your trips, create memories and share your experiences.",160019,—,2017,www.pictureyourtravel.com,1,Nitin Trehan,01-Oct,1,Seed,"Oct 30, 2021","$ 2,50,000.00",Pre-Seed,"$ 2,50,000.00",Newchip Accelerator,1,,,,,
Bizzy Baby Media,Animation,Media and Entertainment,Mumbai,Maharashtra,Bizzy Baby Media is a digital media and 2D animation studio.,—,—,"Jan 1, 2017",bizzybaby.in/,1,Murtuza Kutianawalla,Nov-50,2,M&A,"Jan 30, 2020","$ 1,00,000.00",Seed,"$ 3,00,000.00",8finity Global,1,,,,,
PLUC,Content,Content Creators,Delhi,Delhi,"PLUC is a tech-based mobile storytelling platform that provides creators the tools they need to create, promote, and monetize their work.",—,—,2017,pluc.in,—,,Nov-50,1,Seed,"Mar 4, 2022","$ 1,00,000.00",Pre-Seed,"$ 1,00,000.00",EXPERT DOJO,1,,,,,
HumbleBean Coffee,Coffee,Food and Beverage,Kushalnagar,Karnataka,"HumbleBean Coffee is a coffee company that brings India-Grown, Sustainable, Premium, Ethically-Sourced Coffee.",571234,—,2018,humblebeancoffee.com,—,,Nov-50,1,Seed,"Jul 1, 2022","₹ 4,50,00,000.00",Angel,"₹ 4,50,00,000.00",,—,,,,,
Elemential,Blockchain,Developer Tools,Mumbai,Maharashtra,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",—,$1M to $10M,"Aug 22, 2017",elemential.com/,2,Anil Dukkipatty,Nov-50,1,Seed,"Apr 10, 2018","$ 10,00,000.00",Seed,"$ 10,00,000.00",Digital Currency Group,14,Raunaq Vaisoha,Matrix Partners India,Lightspeed India Partners,8i Ventures,Prashant Malik
Shrubs tea,Fast-Moving Consumer Goods,Food and Beverage,Hyderabad,Andhra Pradesh,"\A new age tea company that manufacturers Ready-to-drink Cold craft artisanal teas offering a \""\""Guilt-free\""\"" pleasure""",https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/asia-pacific,500033,—,"Mar 22, 2018",,,,,,,,,,,,,,,,
we strive to deliver a refined range for you to pick from,we still continue to work towards honing what we do best at Shrubs and evolve it into a paragon of quality,—,https://www.crunchbase.com/person/abhilash-maruvada,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/shrubs-tea,"Feb 1, 2019",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/shrubs-tea,"₹ 60,00,000.00",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/shrubs-tea,,—,,,,,,,,,,,,,,,
Amaara Herbs,E-Commerce,Food and Beverage,New Delhi,Delhi,Amaara Herbs is a company that curates and sells high-quality herbs and herbal teas in India and around the world.,110085,—,2018,www.amaaraherbs.com/,—,,01-Oct,2,Seed,"Nov 28, 2021",—,Seed,"$ 80,000.00",India Accelerator,3,,Faad Network,O2 Angels Network,,
Livve Homes,Financial Services,Real Estate,Ernakulam,Kerala,Livve Homes offers online deposit and rent payments platform for owners and tenants.,682034,—,2017,www.livvehomes.com/,1,Bhavi Mohanty,Nov-50,2,Seed,"Mar 18, 2021","$ 50,00,000.00",Seed,"$ 65,00,000.00",,—,,,,,
Rolling Plates,Food and Beverage,Restaurants,Ahmedabad,Gujarat,Rolling Plates is a food-tech company that specializes in cloud Kitchen based virtual restaurant brands.,—,—,"Jan 1, 2018",www.rollingplates.in/,2,Falaknaz Sheikh,01-Oct,1,Seed,"Aug 5, 2021","$ 1,50,000.00",Pre-Seed,"$ 1,50,000.00",,—,Shihab Sheikh,,,,
Virtual MetalStreet(MetalStreet),B2B,E-Commerce,Bengaluru,Karnataka,Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,560025,—,2017,www.metalstreet.in/,3,Arun Shukla,Nov-50,1,Seed,"Oct 15, 2018","$ 7,00,000.00",Angel,"$ 7,00,000.00",,—,Nupin R Pillai,,,,
Corpusvision,Cloud Computing,Information Technology,Mumbai,Maharashtra,Corpusvision is a software development company focusing on developing affordable technologies.,—,—,2018,www.corpusvision.com,2,Pranjal Pandey,Nov-50,2,Seed,"Mar 27, 2019","₹ 4,00,000.00",Seed,"₹ 6,00,000.00",,—,Vineet Singh Kashyap,,,,
TresMoto,Automotive,Electric Vehicle,Bengaluru,Karnataka,"TresMoto is a manufacturer & distributor of electrical scooters with standard features that include GPS, geofencing & remote demobilization.",562 149,—,"Jul 16, 2017",www.tresmoto.in,2,Indrajeet Singh Rajpoot,Nov-50,4,Seed,"Jan 12, 2021",—,Seed,"$ 2,55,000.00",Shell E4,2,Shubham Jain,Raaj Kumar,,,
Plus Healthcare,Education,Health Care,Mumbai,Maharashtra,HealWell24 - Medtech Market Place,400078,—,2018,plushealthcare.co.in,4,Chittaranjan Mishra,Nov-50,2,M&A,"Sep 1, 2021","$ 1,50,000.00",Seed,"$ 1,75,000.00",Plus Healthcare,5,J K Singha,Amit Bhatnagar,R Ranganathan,Siddharth Puranik,Prerna Goenka
The Office Pass,Coworking,Information Technology,Gurgaon,Haryana,"\The Office Pass (TOP) is a technology platform that connects companies & professionals to \""\""ready to use\""\"" cool""",https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/asia-pacific,122018,—,2017,,,,,,,,,,,,,,,,
maintenance charges,furnishing & equipment,electricity,,,,,,,,,,,,,,,,,,,,,,,
"you enjoy \\""Pay as you use model\""\""​. You can take office space on MONTHLY""",you pay only for the seat(s) that you book. If you expand your team,—,https://www.crunchbase.com/person/aditya-verma-2,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/the-office-pass,"Apr 25, 2017",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/the-office-pass,"$ 2,45,000.00",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/the-office-pass,Arun Tadanki,",",https://www.crunchbase.com/person/aditya-verma,,,,,,,,,,,,,,
