Company,Funding Round,Amount,Date,RupeesAmount
Jai Kisan,Venture - Series Unknown,"$3,020,000","Jan 1, 2023",226500000
ZeoAuto,Seed,"$1,000,000","Apr 5, 2020",75000000
IIFL Finance,Post-IPO Debt,"$48,180,000","Jun 1, 2018",3613500000
Louis Stitch,Seed,"₹50,000,000","Jul 20, 2023",50000000
VVFit Solutions,Series A,"$865,000","May 23, 2021",64875000
Reliance Jio,Debt Financing,"$1,600,000,000","Jul 13, 2023",120000000000
AdaniConneX,Debt Financing,"$213,000,000","Jun 23, 2023",15975000000
Fusion Microfinance,Debt Financing,"$8,160,000","Mar 1, 2021",612000000
Equitas Small Finance Bank,Debt Financing,"$18,140,000","Sep 1, 2015",1360500000
Dr Agarwal Hospitals,Debt Financing,"$30,260,000","Nov 1, 2019",2269500000
Equitas Small Finance Bank,Venture - Series Unknown,"$5,950,000","Nov 1, 2014",446250000
CARE Hospitals Group,Private Equity,"$30,000,000","Feb 1, 2016",2250000000
Equitas Small Finance Bank,Venture - Series Unknown,"$16,160,000","Dec 1, 2013",1212000000
Ecom Express,Venture - Series Unknown,"$1,400,000","Jun 1, 2023",105000000
Fourth Partner Energy,Debt Financing,"$47,160,000","Jan 1, 2022",3537000000
NODWIN Gaming,Corporate Round,"$24,000,000","May 18, 2023",1800000000
ASA International India Microfinance,Debt Financing,"$5,440,000","Mar 1, 2021",408000000
Asirvad Microfinance,Debt Financing,"$6,800,000","Mar 1, 2021",510000000
Airtel,Post-IPO Debt,"$40,780,000","Dec 1, 2013",3058500000
Arohan Financial,Debt Financing,"$8,160,000","Mar 1, 2021",612000000
Medikabazaar,Debt Financing,"$10,000,000","Aug 1, 2021",750000000
Lenskart,Series I,"$100,000,000","Jun 15, 2023",7500000000
Chaitanya,Debt Financing,"$6,800,000","Mar 1, 2021",510000000
Annapurna Finance,Debt Financing,"$8,160,000","Mar 1, 2021",612000000
Africa Gateway,Venture - Series Unknown,"$325,000,000","Dec 1, 2021",24375000000
RenewBuy,Series D,"$40,000,000","Jul 18, 2023",3000000000
TaxNodes,Seed,"₹131,000,000","Jun 14, 2023",131000000
Sole Threads,Series A,"$3,700,000","Jul 18, 2023",277500000
E Sandhai,Seed,—,"Jan 28, 2023",0
Requestly,Seed,—,"May 24, 2022",0
Pupil Diner,Seed,—,"Jun 4, 2023",0
PhonePe,Private Equity,"$100,000,000","May 22, 2023",7500000000
Navadhan Capital,Seed,"$1,500,000","Jun 21, 2023",112500000
Rooter,Venture - Series Unknown,"$16,000,000","May 18, 2023",1200000000
Formi,Pre-Seed,"$165,000","May 2, 2023",12375000
NestAway,Series D,"₹349,200,000","Sep 17, 2019",349200000
AgriApp Technologies,Pre-Seed,"₹10,000,000","Mar 8, 2023",10000000
TagZ Foods,Seed,—,"Jun 5, 2023",0
Otipy,Series A,"₹760,000,000","Jul 19, 2021",760000000
Karma Healthcare,Series A,—,"Jun 26, 2023",0
Emerald Media,Funding Round,—,"Nov 3, 2015",0
Avaada,Corporate Round,"₹107,000,000,000","Jun 30, 2023",107000000000
Spice Story,Seed,"₹7,000,000","Jun 30, 2023",7000000
Tikkly Agro Solutions Pvt. Ltd.,Seed,—,"Mar 2, 2023",0
Otipy,Series B,"₹2,350,000,000","Mar 7, 2022",2350000000
Virohan,Series B,"₹562,000,000","Dec 8, 2022",562000000
RentoMojo,Venture - Series Unknown,"₹150,000,000","Nov 25, 2021",150000000
eFeed,Seed,"₹82,000,000","Jan 11, 2023",82000000
Oriana Power,Funding Round,"$121,860","Jul 11, 2023",9139500
XFlow,Seed,"$10,200,000","May 25, 2023",765000000
Hasiru Dala Innovations,Venture - Series Unknown,—,"Apr 22, 2021",0
IIFL Finance,Post-IPO Debt,"$175,000,000","Jul 3, 2023",13125000000
The Krishi,Seed,—,"Jan 1, 2021",0
Unreal finance,Seed,"$2,700,000","Jun 17, 2021",202500000
GreenCell Mobility,Debt Financing,"₹4,506,000,000","Nov 7, 2022",4506000000
